"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"1","28114855","邊信聯科技股份有限公司","新竹市東區新安路5號4樓之1(107室)","邵家健","1000000","1091029"
"2","28114877","普研生技股份有限公司","新竹縣寶山鄉創新一路6號","林孟德","2000000","1091030"
"3","29187876","米斯拉遊戲股份有限公司","臺中市大里區東湖里中興路一段159之1號3樓","蔡耀霆","2000000","1091020"
"4","29187882","均盛科技股份有限公司","臺中市大里區東湖里中興路一段159之1號3樓","章其源","8000000","1091027"
"5","29187898","兆達資訊服務有限公司","高雄市前鎮區鎮北里復興四路10號6樓8","歐梗良","5000000","1091016"
"6","29187905","台虹應用材料股份有限公司","高雄市前鎮區高雄加工出口區南三路8號4樓","謝芳宜","50000000","1091015"
"7","69764826","艾達特整合分析有限公司","臺南市新市區南科三路17號之1A0116室","邱奕凡","700000","1091022"
"8","83045192","有盛物流有限公司","新北市泰山區辭修路10之13號14樓","林庭聿","100000","1091007"
"9","83045215","偉霆投資股份有限公司","新北市新莊區五工三路94巷14號(1樓)","陳書紘","10000000","1091008"
"10","83045221","沅謚系統傢俱有限公司","新北市汐止區福德一路272巷16號2樓","涂顥諹","500000","1091008"
"11","83045236","週末快樂有限公司","新北市新店區寶橋路27號26樓之3","程粲","200000","1091008"
"12","83045242","群澤投資開發股份有限公司","新北市三峽區白雞62之3號","施家棟","5000000","1091007"
"13","83045257","狩樂互動娛樂有限公司","新北市新店區民權路95號7樓之3","尤佑文","1000000","1091008"
"14","83045263","云騰國際實業有限公司","新北市新店區北宜路2段581巷12號","朱玉鳳","2000000","1091008"
"15","83045284","艾蕾亞有限公司","新北市三重區重新路1段84號(1樓)","童建智","100000","1091008"
"16","83045290","佑富室內裝修有限公司","新北市板橋區民有街35號","潘明賢","200000","1091008"
"17","83045329","優品聚有限公司","新北市新莊區新北大道3段3號6樓","林政偉","6000000","1091008"
"18","83045334","日上詳企業有限公司","新北市新莊區福樂街118巷1弄12號2樓","江政典","1500000","1091008"
"19","83045340","齊曜有限公司","新北市三重區集美街227號9樓","鍾靜宜","1000000","1091008"
"20","83045355","義必盛投資有限公司","新北市新莊區雙鳳路73巷16號","簡志剛","8000000","1091008"
"21","83045361","巴斯卡精密科技有限公司","新北市樹林區俊英街125巷2號","陳清華","10000000","1091008"
"22","83045377","意崴有限公司","新北市新店區民權路108號10樓","余蕙馨","1000000","1091008"
"23","83045382","十號貿易有限公司","新北市中和區中興街210號11樓之1","史皓天","500000","1091008"
"24","83045398","亞麻幸福之家有限公司","新北市新莊區中港路615巷11弄6號(1樓)","張簡嘉蕙","1000000","1091008"
"25","83045411","遠見開發有限公司","新北市三峽區中華路45號(1樓)","黃永松","1000000","1091008"
"26","83045427","秀邦醫療器材有限公司","新北市三峽區國光街107號(1樓)","劉吉邦","100000","1091008"
"27","83045432","伊星達空間文創有限公司","新北市中和區中山路2段332巷59號4樓","温詩宜","200000","1091008"
"28","83045453","蔚曦國際有限公司","新北市永和區國中路104巷8弄2號（1樓）","吳本孝","2000000","1091008"
"29","83045469","集思資訊科技有限公司","新北市中和區圓通路369巷72號2樓","康振漢","500000","1091008"
"30","83045475","耀芳餐飲有限公司","新北市五股區新城八路306號","郭洲忠","5200000","1091008"
"31","83045480","昶聖科技有限公司","新北市板橋區四川路1段23號9樓之1","黃玉玲","500000","1091008"
"32","83045496","曾芯食藝有限公司","新北市林口區民有街62號","曾琬鈞","1000000","1091008"
"33","83045518","延峰工程有限公司","新北市土城區慶利街20巷2號4樓","葉廷峰","300000","1091008"
"34","83045524","麒拓國際有限公司","新北市林口區信義路390號8樓","吳政龍","2000000","1091008"
"35","83045539","為豐行餐飲管理顧問有限公司","新北市泰山區泰林路2段414巷6號之3九樓","張麗春","110000","1091008"
"36","83045545","旻奇國際有限公司","新北市汐止區康寧街751巷13號2樓之4","張楹舜","100000","1091008"
"37","83045550","傳承傢俱國際有限公司","新北市新莊區西盛街187之8號2樓","胡雅菁","1000000","1091008"
"38","83045566","相寓室內裝修工程有限公司","新北市新店區寶元路1段85巷1號","劉建佑","100000","1091008"
"39","83045572","青樓豔技有限公司","新北市中和區橋和路122號9樓之3","郭達芬","100000","1091008"
"40","83045587","達境設計有限公司","新北市中和區員山路581巷31弄2之13號4樓","賴俊達","200000","1091008"
"41","83045593","壯客國際股份有限公司","新北市新莊區化成路540號之1八樓之1","楊世宏","3500000","1091008"
"42","83045600","鐸新環衛有限公司","新北市五股區自強路144號2樓","吳志剛","2000000","1091013"
"43","83045616","友德管理顧問有限公司","新北市新店區環河路40之1號","李賢柱","500000","1091012"
"44","83045622","亞洲之心貿易有限公司","新北市新莊區中正路300巷9號12樓","ANDREW JAMES GRANTHAM","1164638","1091013"
"45","83045637","貝荷瑪科技有限公司","新北市蘆洲區民權路3巷14弄17號2樓","李俊彥","1000000","1091012"
"46","83045643","徐寶順投資有限公司","新北市土城區中央路3段87號6樓","徐文桂","5000000","1091012"
"47","83045658","向森創意設計企業股份有限公司","新北市中和區中安街178巷13弄9號(1樓)","陳彥名","500000","1091012"
"48","83045664","風麋露戶外用品有限公司","新北市板橋區國慶路149巷33號","李紹霜","2000000","1091012"
"49","83045670","品業室內裝修有限公司","新北市三重區大同北路115巷18號（1樓）","鄭皓云","300000","1091014"
"50","83045685","信裕投資開發股份有限公司","新北市樹林區復興路33號21樓","何金山","10000000","1091012"
"51","83045691","恒亮光電貿易有限公司","新北市永和區民族街81巷1號5樓","曾彥儒","500000","1091012"
"52","83045708","柏昇衛材有限公司","新北市新莊區化成路736巷14弄3號","歐柏廷","1000000","1091012"
"53","83045714","茶奶士多餐飲有限公司","新北市八里區中山路2段331號2樓","張家赫","100000","1091012"
"54","83045720","準旺科技股份有限公司","新北市林口區信義路283號15樓之1","周才強","3000000","1091012"
"55","83045735","政好有傘有限公司","新北市新店區永平街33號4樓","吳尚禹","100000","1091012"
"56","83045741","翔瑞開發建設有限公司","新北市林口區中北一街79號","駱志瑯","6800000","1091012"
"57","83045756","光合作用食氣設計有限公司","新北市新店區永平街33號4樓","陳瑄蕙","100000","1091012"
"58","83045762","放心秘境有限公司","新北市新店區永平街33號4樓","廖婉如","100000","1091012"
"59","83045778","歪學有限公司","新北市新店區永平街33號4樓","黃彥晨","100000","1091012"
"60","83045783","醒醒有限公司","新北市新店區永平街33號4樓","高家陽","100000","1091012"
"61","83045799","虹瑩有限公司","新北市樹林區大雅路268號(1樓)","謝承諭","3000000","1091012"
"62","83045812","微迅資訊有限公司","新北市蘆洲區中正路79號6樓","陳威任","100000","1091012"
"63","83045828","薪傳生物科技有限公司","新北市三重區三陽路119號","游子瑩","2000000","1091012"
"64","83045833","京璽創意有限公司","新北市汐止區中興路150巷20號4樓","余佳丞","1000000","1091012"
"65","83045849","濎緯建設有限公司","新北市土城區延和路108巷2弄6號7樓","林彥尊","1000000","1091012"
"66","83045854","金良投資股份有限公司","新北市樹林區學成路721號12樓","盧金松","8000000","1091012"
"67","83045860","魯米帝有限公司","新北市新莊區幸福路679號","吳欣傑","1500000","1091012"
"68","83045876","瀧超貿易有限公司","新北市板橋區漢生東路313巷2弄80號(1樓)","邱鈺婷","500000","1091012"
"69","83045881","映川生技有限公司","新北市中和區中正路866之3號17樓","張自偉","1000000","1091012"
"70","83045897","川井科技有限公司","新北市土城區中央路2段61巷13號20樓","范筠雅","1000000","1091012"
"71","83045904","人餐飲有限公司","新北市樹林區太平路251號3樓","謝文輝","10000","1091013"
"72","83045910","星逸科技股份有限公司","新北市樹林區保安街1段16巷17號5樓","李俊樺","200000","1091012"
"73","83045926","傑特仕亞太資訊有限公司","新北市中和區中山路2段33號10樓","GUSTIN  JULIEN","500000","1091012"
"74","83045931","沐以泰有限公司","新北市新店區民權路46號5樓","鄭乃豪","3500000","1091012"
"75","83045947","台莉有限公司","新北市蘆洲區九芎街167巷9號","陳順成","1000000","1091012"
"76","83045952","金鴻鑠建設股份有限公司","新北市新莊區新泰路350號2樓","徐世欣","500000","1091012"
"77","83045974","沛菲投資股份有限公司","新北市板橋區板新路163號8樓","李岳駿","300000","1091012"
"78","83045989","宜泓企業有限公司","新北市三重區正義北路85號","朱玟瑜","500000","1091012"
"79","83045995","華尚投資股份有限公司","新北市中和區連城路258號7樓之4","黃思慧","15000000","1091013"
"80","83046002","蘋果皇后有限公司","新北市林口區四維路3號2樓","林維音","100000","1091012"
"81","83046018","藝城有限公司","新北市永和區中正路419號(1樓)","黃仲漢","1600000","1091012"
"82","83046024","盛安技術顧問有限公司","新北市中和區南山路240號","林濟富","5000000","1091012"
"83","83046039","廣龍食品企業股份有限公司","新北市新莊區新樹路207之34號","蔡魏桂花","500000","1091012"
"84","83046045","釧海科技有限公司","新北市中和區秀朗路3段128巷42弄7號","邱意如","300000","1091012"
"85","83046050","潁想力創意整合行銷有限公司","新北市新店區中央三街127號10樓","鍾道榮","1000000","1091013"
"86","83046072","犀牛投資有限公司","新北市林口區文化三路1段191巷14號","馬誠佑","5000000","1091013"
"87","83046087","村蓮投資有限公司","新北市汐止區汐碇路16之1巷9號7樓","張霈吉","14301000","1091013"
"88","83046093","客尚徠企業有限公司","新北市新莊區莊崑路7號3樓","張哲豪","1000000","1091013"
"89","83046116","晶佳順股份有限公司","新北市中和區中正路736號2樓之3","林長成","1000000","1091013"
"90","83046122","億穎投資有限公司","新北市永和區中正路131號14樓之3","陳建穎","2000000","1091013"
"91","83046137","夏蒂法國際股份有限公司","新北市三重區興德路82號15樓","邵一田","10000000","1091013"
"92","83046143","鎬天有限公司","新北市泰山區楓江路32號3樓","許桂美","400000","1091013"
"93","83046158","翡翠開發建設有限公司","新北市萬里區日光路66號2樓","辜俊能","1000000","1091013"
"94","83046164","宸皓開發設計有限公司","新北市林口區文化二路1段384號6樓之1","李曉倩","60000","1091013"
"95","83046185","漢樽工程有限公司","新北市中和區中山路2段332巷59號4樓","許書偉","200000","1091013"
"96","83046214","艾旺國際有限公司","新北市永和區中和路345號12樓之3","高小培","505000","1091013"
"97","83046220","銘曜塑膠有限公司","新北市樹林區三俊街199巷12弄5號","王珮君","200000","1091013"
"98","83046235","萬易投資有限公司","新北市蘆洲區長安街68巷43號4樓","鄭志隆","5000000","1091013"
"99","83046241","世明起重有限公司","新北市泰山區明志路1段466巷25號","劉蘭花","150000","1091013"
"100","83046256","聯華食尚股份有限公司","新北市淡水區中正路11巷1號","魏進陸","2550000","1091013"
"101","83046262","永心生活有限公司","新北市三重區中正北路118巷17號2樓","鄭文斐","250000","1091013"
"102","83046278","一加整合行銷有限公司","新北市三峽區二鬮路50巷3號2樓","曾桂芳","20000","1091013"
"103","83046283","豐家生技有限公司","新北市永和區保福路2段88巷18號2樓","陳炫杰","1000000","1091013"
"104","83046299","漢承工程顧問有限公司","新北市汐止區大同路1段337巷16弄25號","郭漢威","1100000","1091013"
"105","83046312","晤物室內裝修設計有限公司","新北市土城區明德路1段287巷10號10樓","吳霆恩","50000","1091013"
"106","83046328","利亞智能科技有限公司","新北市板橋區四川路1段6號","汪素青","1000000","1091013"
"107","83046333","洪笙科技有限公司","新北市三重區光復路1段83巷2號7樓","李東昇","500000","1091014"
"108","83046349","加崴有限公司","新北市永和區環河西路2段201號22樓","貝正偉","1000000","1091013"
"109","83047699","英瑞企業有限公司","桃園市中壢區健行里東林街4巷12號","徐世英","1000000","1091012"
