"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准變更日期"
"1","00208803","英和煤礦股份有限公司","基隆市暖暖區暖暖街115之1號","周人聰","6000000","1100503"
"2","00297306","遠峰貨運股份有限公司","桃園市龜山區大湖里文三三街38巷32號（1樓）","張坤弘","5000000","1100505"
"3","00657771","安錥交通股份有限公司","新竹縣新豐鄉中興路209號","莊乾正","36000000","1100531"
"4","00697035","大才營造有限公司","桃園市桃園區大興西路二段63號8樓","陳文瑞","28000000","1100506"
"5","00813203","足達貨運有限公司","基隆市中山區華興街53巷9號2樓之7","吳盛隆","10000000","1100505"
"6","00843699","建發報關有限公司","基隆市仁愛區孝二路39號6樓5室","張家許","5000000","1100507"
"7","00884017","日盛報關股份有限公司","基隆市中正區義一路43號7樓之3","許玉樹","112000000","1100527"
"8","01181325","哈帝股份有限公司","臺北市內湖區堤頂大道2段201號8樓","沈明壽","215000000","1100503"
"9","01182577","三麥機械股份有限公司","新北市新莊區建國二路95號","鄭書光","20000000","1100521"
"10","01507744","聯凱有限公司","臺中市大雅區員林里大林路66巷12之2號","馮民生","5000000","1100526"
"11","01507907","典業有限公司","臺北市內湖區洲子街85號5樓之1","楊錫彬","5000000","1100518"
"12","01514219","歐坊設計工程有限公司","臺北市內湖區成功路4段188號14樓之12","鄧仲佑","79000000","1100518"
"13","01517124","國眾電腦股份有限公司","臺北市內湖區陽光街298號3樓","王超群","873061230","1100526"
"14","01520090","坤義室內裝修設計有限公司","臺北市信義區松隆路159巷39號1樓","蘇耀華","5000000","1100503"
"15","01681834","立邦紙器股份有限公司","臺北市文山區木新路2段218巷15號","徐前程","3000000","1100518"
"16","02422863","家寶事業股份有限公司","宜蘭縣蘇澳鎮德興一路23號","劉慶璋","33000000","1100519"
"17","02639862","春強工業有限公司","桃園市八德區瑞豐里豐田路112號","吳嘉正","2500000","1100519"
"18","02659037","榮金營造工程股份有限公司","臺北市信義區信義路5段150巷2號8樓之5","侯憲航","215000000","1100507"
"19","02949000","上億紙器股份有限公司","臺中市南屯區豐富路199號12樓之9","卓億昇","10000000","1100504"
"20","03029121","三崑企業有限公司","臺北市中山區吉林路22巷8號6樓","林仁傑","5000000","1100517"
"21","03089008","中國砂輪企業股份有限公司","新北市鶯歌區中山路64號","林伯全","1414690000","1100525"
"22","03098908","日盛證券股份有限公司","臺北市中山區南京東路2段111號3、4樓","唐承健","11572127600","1100528"
"23","03101946","中福國際股份有限公司","新北市中和區廟美里景平路666號2樓","黃立中","1397800800","1100504"
"24","03235804","東芳貿易股份有限公司","臺北市中山區南京東路3段219號8樓","林士傑","150489600","1100511"
"25","03259811","今聯遊覽汽車股份有限公司","新北市新店區安祥路106巷131弄9號","温昌衡","12000000","1100504"
"26","03267501","幸福旅行社股份有限公司","臺北市中山區八德路2段232號10樓","周欣怡","6000000","1100507"
"27","03307406","美商花旗銀行股份有限公司","臺北市信義區松智路1號15樓","陳園甯","1700000000","1100517"
"28","03324806","恆誼化工股份有限公司","苗栗縣頭份市中華路440號","何基丞","498000000","1100526"
"29","03341208","振芳股份有限公司","臺北市中正區新生南路1段116號3樓","許江秀琴","300000000","1100527"
"30","03359109","第一產物保險股份有限公司","臺北市中正區忠孝東路1段54號10、11樓","李正漢","3011637840","1100512"
"31","03380503","電通國華股份有限公司","臺北市信義區松仁路100號30樓之1","泉  清利","100000000","1100519"
"32","03419401","華宮汽車有限公司","桃園市中壢區環西路二段247號1樓","葉建鋒","50000000","1100517"
"33","03431502","富農化學工業股份有限公司","桃園市觀音區保障里草漯51之10號","翁聰仁","219780000","1100507"
"34","03477008","新高建設股份有限公司","臺北市大安區敦化南路1段314號7樓","李春雄","40000000","1100524"
"35","03489200","裕隆汽車製造股份有限公司","苗栗縣三義鄉西湖村伯公坑39號之1","嚴陳莉蓮","10000000000","1100510"
"36","03539200","台富國際股份有限公司","臺北市大安區敦化南路2段97號17樓","陳鏡亮","346920000","1100513"
"37","03552907","台灣恆隆行有限公司","臺北市中正區懷寧街90號7樓","黃有年","8000000","1100514"
"38","03561504","台灣塩野香料股份有限公司","新北市新莊區化成路219號","安田秀一","27000000","1100512"
"39","03565608","臺灣觀光育樂事業股份有限公司","臺北市萬華區中華路1段170號6樓","蕭味","3000000","1100521"
